	restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	facilitiesServices	creditCards	phoneNumber	website	latitude	logitude	description_filtered
0	20Tre	via David Chiossone 20 r	Genoa	16123	ITA	Liguria	€€	Farm to table, Modern Cuisine	Air conditioning	Amex, Mastercard, Visa	+39 010 247 6191	https://www.ristorante20tregenova.it/	44.4087805	8.9331148	situat heart genoa ’ histor centr contemporary-styl restaur focus dish almost fish-bas present modern style gener portion season ingredi market-fresh produc guid philosophi
1	Alessandro Feo	via Angelo Lista 24	Marina di Casal Velino	84040	ITA	Campania	€€	Campanian, Seafood		Amex, Mastercard, Visa	+39 328 893 7083	https://www.alessandrofeoristorante.it/	40.1769364	15.121255	beauti stone-vault build old 17c monasteri town ’ seafront promenad young owner-chef alessandro feo made mark region perhap fewer gourmet restaur mani place elsewher creat dish combin tradit influenc classic favourit campania individu flair creativ focu local season ingredi includ produc two kitchen garden fish sourc local fishermen well ventur sea
2	Ape Vino e Cucina	Piazza Risorgimento 3	Alba	12051	ITA	Piedmont	€€	Piedmontese, Contemporary	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0173 363453	https://www.apewinebar.it/alba/	44.7005845	8.0361169	attract restaur heart alba gastronom capit langh home chef damiano nigro previou experi michelin-star restaur area restaur serv aperitif snack tapa top-qual cocktail alongsid delici gener portion meal might expect piedmont tradit flavour pasta bread dessert ice-cream homemad last visit summer particularli enjoy maccheroncini scampi pepper exquisit fassona beef red-win sauc season veget book ahead recommend
3	Charleston	via Generale Magliocco 19	Palermo	90141	ITA	Sicily	€€€€	Modern Cuisine, Creative	Air conditioning, Counter dining, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 091 450171	https://casacharleston.net/	38.1215951	13.3569428	becam famou mondello renown charleston start centr palermo – return origin occupi former mazzara bar favourit local ground floor home café cocktail bar bistro contemporari sicilian-styl restaur eleg summer terrac occupi first floor lift avail young chef gaetano verd demonstr skill acquir time work renown restaur elsewher itali afield dish clear precis often prepar use three main ingredi – good exampl grill beef dish serv ferment grape sesam cream
4	Da Bob Cook Fish	largo Parsano vecchio 16	Sorrento	80067	ITA	Campania	€€	Seafood	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 081 1778 3873	https://www.dabobcookfish.com/	40.6237252	14.3705831	work partnership nearbi fishmong suppli fresh fish seafood restaur occupi build use store orang date back 400 year although menu given restaur ’ close relationship fishmong recommend ask serv staff catch day take look glass cabinet fish display dish classic tradit allow full flavour fresh fish shine
5	DA_MÓ	Via Bruno Buozzi 20	Matera	75100	ITA	Basilicata	€€	Regional Cuisine, Contemporary	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0835 686548	https://www.damoristorante.it/	40.6624784	16.6113483	new restor restaur upper part sassi yet still near centr matera car park warm friendli ambienc boast small charm outdoor space entir famili father kitchen mother daughter front hous move matera venosa home latin poet horatio serv region cuisin contemporari twist littl skill profession variou tast menu avail well à la cart interest wine list complet pictur
6	Dama	Via Mulino, località San Gaudenzio	Cervesina	27050	ITA	Lombardy	€€€	Modern Cuisine	Garden or park, Wheelchair access	Amex, Mastercard, Visa	+39 0383 3331	https://www.hcsg.it/ristorante/	45.0476388	9.0062926	situat kilometr voghera bassa lomellina area gourmet restaur run young chef occupi old stabl castello di san gaudenzio alongsid local special bake onion 24-month-old grana padano chees menu also featur creativ dish base around authent recip wine list includ particularli interest label oltrepò region
7	Donevandro	via Garibaldi 2	Popoli	65026	ITA	Abruzzo	€€	Contemporary, Seasonal Cuisine	Air conditioning	Mastercard, Visa	+39 388 887 6858	http://www.donevandroristorante.it	42.1744979	13.8329115	year ago owner-chef restaur work painter – fact evid artist touch cuisin recip modern personalis care attent natur paid harmoni present flavour dish brought ingredi skil chosen abruzzo inland area 2024 restaur move new central locat premis intim feel eleg minimalist style
8	Etra	piazza De Ferrari 4	Genoa	16121	ITA	Liguria	€€€	Creative, Italian Contemporary	Air conditioning	Amex, Mastercard, Visa	+39 010 731 6733	https://www.etra.art/	44.4081985	8.9341693	etra anagram italian word “ art ” – apt name restaur hous palazzo doria de fornari beauti famou piazza ferrari palazzo one genova ’ magnific “ rolli ” palazzi nobl palac use hous famou visitor citi despit set dine room modern style adorn eleg work contemporari art chef david cannavino consolid reput concis menu creativ dish around dozen meat fish option inspir beauti surround showcas two tast menu individu dish chosen à la cart style
9	Il Ristorante Alain Ducasse Napoli	Via Cristoforo Colombo 45	Naples	80133	ITA	Campania	€€€€	Creative, Mediterranean Cuisine	Air conditioning, Great view, Interesting wine list	Amex, Mastercard, Visa	+39 081 604 1580	https://theromeocollection.com/en/romeo-napoli/restaurants-bars/il-ristorante-alain-ducasse/	40.840277	14.2555922	alain ducass one great name contemporari fine dine arriv napl open restaur former premis prestigi ristorant il comandant situat 9th floor romeo hotel overlook port restaur boast fine view vesuviu bay napl especi sunset colour truli spectacular meanwhil modern dine room decor complet black equal stun surround alessandro lucassino born 1991 year experi work mentor add person flavour local recip use short cook time preserv nutriti qualiti flavour local fish veget remain faith ducass ’ “ cuisin de la naturalité ” philosophi
10	Il Tirabusciò	via Rosa Scoti 12	Bibbiena	52011	ITA	Tuscany	€€	Tuscan	Air conditioning	Amex, Mastercard, Visa	+39 0575 595474	https://www.tirabuscio.it/	43.6950608	11.8175308	restaur heart old town must anyon keen tri cuisin casentino region friendli chef happi provid inform ingredi offer recommend – strong flavour evid delici cuisin sure leav last memori
